"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout_rate","epochs","hidden_dim","lr","method","metric.goal","metric.name","parameters.batch_sizes","parameters.dropout_rates","parameters.epochs","parameters.hidden_dims","parameters.lrs","parameters.weight_decays","weight_decay","Bt_mae","Bt_r2","Bt_rmse","Bx_mae","Bx_r2","Bx_rmse","By_mae","By_r2","By_rmse","Bz_mae","Bz_r2","Bz_rmse","Density_mae","Density_r2","Density_rmse","Speed_mae","Speed_r2","Speed_rmse","Temperature_mae","Temperature_r2","Temperature_rmse","epoch","train_loss","train_mae","train_r2","train_rmse","val_loss","val_mae","val_r2","val_rmse"
"glowing-sweep-80","finished","-","","","2024-07-31T11:58:46.000Z","240","4p2ul9fv","64","0.3","200","128","0.00001","","","","","","","","","","0.00001","1.957101345062256","0.002632617950439453","2.765627145767212","2.427154302597046","0.0018491744995117188","3.000505208969116","2.7532808780670166","-0.010616302490234377","3.573904037475586","2.1136510372161865","-0.01243436336517334","2.9889211654663086","2.935244083404541","0.011763036251068115","4.438943862915039","69.23394012451172","0.02993720769882202","88.6515884399414","54732.27734375","0.002196013927459717","85237.671875","200","0.9963635936589308","7830.5185546875","0.0036182233598083258","32216.779296875","1.0058675483621733","7554.1435546875","-0.04733758419752121","28064.396484375"
"golden-sweep-18","finished","-","","","2024-07-31T06:56:26.000Z","169","4p2ul9fv","128","0.3","200","256","0.1","","","","","","","","","","0","1.9561430215835571","-0.004768013954162598","2.775868654251098","2.4436609745025635","-0.0017818212509155271","3.00595760345459","2.7606217861175537","-0.0025240182876586914","3.5595667362213135","2.0925581455230713","-0.00344240665435791","2.975618362426758","2.9628684520721436","-0.0056917667388916016","4.477973937988281","70.45590209960938","-0.004764556884765625","90.22331237792967","54521.16015625","-0.002292752265930176","85429.1796875","200","1.0036311372065208","7800.53125","-0.003611207008361816","32289.158203125","0.9967832243442536","7683.2490234375","-0.042178988456726074","28038.65625"
"graceful-sweep-110","finished","-","","","2024-07-31T14:09:02.000Z","249","4p2ul9fv","64","0.4","200","256","0.00001","","","","","","","","","","0.001","1.9388900995254517","0.01391512155532837","2.7499396800994873","2.4146664142608643","0.010950267314910889","2.9867944717407227","2.7290403842926025","0.004125416278839111","3.5477423667907715","2.1014904975891113","-0.0019469261169433592","2.973400354385376","2.928868293762207","0.014838576316833496","4.432031154632568","68.86768341064453","0.04299896955490112","88.05272674560547","54136.453125","0.010810911655426024","84868.90625","200","0.9863450755955468","7745.36865234375","0.013670316897332668","32077.41015625","1.0038251496023602","7471.94775390625","-0.04503868147730827","27972.814453125"
"graceful-sweep-68","finished","-","","","2024-07-31T10:56:34.000Z","253","4p2ul9fv","64","0.5","200","256","0.01","","","","","","","","","","0.01","1.95044469833374","-0.0010595321655273438","2.7707412242889404","2.442915916442871","-0.00046706199645996094","3.0039844512939453","2.7578036785125732","-0.0007152557373046875","3.556354284286499","2.088292360305786","-0.0005755424499511719","2.971364736557007","2.950507402420044","-0.000903010368347168","4.467299938201904","70.32852172851562","-0.0009981393814086914","90.0540542602539","54382.97265625","-0.0008507966995239258","85367.7109375","200","1.0008125685050453","7780.7705078125","-0.000794155232142657","32265.97265625","0.9911551797630812","7537.1103515625","-0.03072919137775898","27858.53515625"
"hardy-sweep-136","finished","-","","","2024-07-31T15:49:38.000Z","387","4p2ul9fv","32","0.2","200","128","0.0001","","","","","","","","","","0.00001","1.7969623804092407","0.14979428052902222","2.5534541606903076","2.2329437732696533","0.13793575763702393","2.788470983505249","2.5760838985443115","0.08867001533508301","3.393810510635376","2.047757625579834","0.061193883419036865","2.8781869411468506","2.731243371963501","0.12151193618774414","4.185207843780518","60.89885711669922","0.25116676092147827","77.88954162597656","50291.1796875","0.1346690058708191","79377.9921875","200","0.8649918236572978","7194.76513671875","0.13499107956886292","30002.02734375","1.0540675404998991","7882.32763671875","-0.0996493250131607","29198.5703125"
"helpful-sweep-126","finished","-","","","2024-07-31T15:11:14.000Z","242","4p2ul9fv","64","0.4","200","128","0.0001","","","","","","","","","","0.001","1.8295233249664309","0.12799197435379028","2.585986614227295","2.2655060291290283","0.11638343334197998","2.823112726211548","2.604923963546753","0.07047456502914429","3.427523136138916","2.0580639839172363","0.04240316152572632","2.906848430633545","2.775996446609497","0.09317803382873537","4.252164840698242","62.3193244934082","0.2141932249069214","79.78926849365234","50662.44140625","0.11683034896850586","80192","200","0.8883466819222544","7248.03857421875","0.11163616925477982","30309.75","1.0293405521096606","7661.82763671875","-0.0729132741689682","28697.658203125"
"icy-sweep-5","finished","-","","","2024-07-31T06:06:35.000Z","170","4p2ul9fv","128","0.3","200","64","0.001","","","","","","","","","","0.001","1.8244882822036743","0.12647747993469238","2.588231325149536","2.2901437282562256","0.09789258241653442","2.8524985313415527","2.6279311180114746","0.06351745128631592","3.4403257369995117","2.0627777576446533","0.04104745388031006","2.908905029296875","2.7550835609436035","0.11044228076934814","4.211493492126465","61.50929260253906","0.23375630378723145","78.7898178100586","50389.8515625","0.13110828399658203","79541.1328125","200","0.8851110771508284","7208.96533203125","0.11489112675189972","30063.73828125","1.0093748450279236","7231.1494140625","-0.053743939846754074","28029.052734375"
"lemon-sweep-72","finished","-","","","2024-07-31T11:15:55.000Z","391","4p2ul9fv","32","0.4","200","256","0.1","","","","","","","","","","0","1.9611270427703855","-0.00939488410949707","2.782252788543701","2.447882890701294","-0.007805824279785156","3.014981985092163","2.7660231590270996","-0.007409095764160156","3.5682287216186523","2.1014091968536377","-0.00939035415649414","2.984424591064453","2.9628796577453613","-0.008008956909179688","4.483129501342773","70.6050796508789","-0.009186506271362305","90.421630859375","54710.05859375","-0.007606029510498047","85655.3203125","200","1.0084377860939","7827.56396484375","-0.008399792946875095","32374.6796875","0.9966178241402212","7849.75244140625","-0.03363193944096565","28262.0625"
"likely-sweep-25","finished","-","","","2024-07-31T07:27:47.000Z","171","4p2ul9fv","128","0.4","200","128","0.01","","","","","","","","","","0.00001","1.804324746131897","0.1434195637702942","2.5630087852478027","2.277094602584839","0.11017996072769164","2.83300518989563","2.623297691345215","0.06979596614837646","3.428773880004883","2.0543787479400635","0.055717408657073975","2.8865694999694824","2.7382519245147705","0.13900834321975708","4.1433210372924805","61.44759368896485","0.2324589490890503","78.85648345947266","50132.99609375","0.1527501940727234","78544.3046875","200","0.8709388517997634","7172.28369140625","0.12904790043830872","29686.9375","1.0100531995296478","7415.18505859375","-0.055336423218250275","28226.0390625"
"logical-sweep-123","finished","-","","","2024-07-31T14:57:26.000Z","166","4p2ul9fv","128","0.4","200","256","0.00001","","","","","","","","","","0","1.9948323965072632","-0.02879345417022705","2.8088600635528564","2.4474945068359375","-0.021821141242980957","3.0358738899230957","2.794450283050537","-0.04005539417266846","3.62558388710022","2.151717185974121","-0.03778076171875","3.026103973388672","3.020049810409546","-0.028224825859069824","4.527861595153809","70.15755462646484","0.0052266716957092285","89.77360534667969","56262.4609375","-0.03587639331817627","86848.625","200","1.0267824031097788","8049.2841796875","-0.026760024949908257","32825.68359375","0.9992396813631058","7493.72265625","-0.045235294848680496","28001.240234375"
